,tweet,Hate_Speech,translated_tweet
272,why do some gays think being mass amp hating feds makes them better than the other gays like the world is still gonna see u as a faggot,1,Mengapa kaum gay berpikir amp massal membenci FBI kaum gay dunia Anda homo
273,['we cunt punting cunt with our tongue in 2019fuck the free earth do you wanna build a snowman'],0,Kami vagina punting lidah 2019fuck The Free Earth Do You Wan na Build A Snowman
274,have robots must be the most retard manager evert is he doing putting in these sorry pitchers,0,memiliki robot manajer retard lakukan memasukkan pitcher menyedihkan
275,yale study on undocumented immigrantstruth,0,Studi Yale Imigrantstruth Tidak berdokumen
276,  they're all parasites who came from shithole countries and need to stay in their shithole countries,1,Mereka parasit berasal negara -negara shithole tinggal negara -negara shithole
277,so hes a fellow spic,0,Jadi spic
278,theaccent people associate is from dudley rest of black country the shithole of west midlands givi ,1,The Eaccent People Associate berasal Dudley Rest of Black Country The Shithole of West Midlands Givi
279,thank you,0,Terima kasih
280,peel that ass back monkey style faggot,1,Kupas homo gaya monyet pantat
281,['saying thing thong ping long is racist only bemock cambrian is fine so flummox writing'],0,thong ping long rasis bemock cambrian -baik flummox menulis
282,yep biased twitter turds got 12 myself for calling a white female muslin convert a bit,1,yep bias twitter turds 12 memanggil muslin betina putih mengkonversi
283,if i see anymore shootings or separating immigrants you will be impeached and prosecuted do i make myself very clear on that,0,Jika penembakan memisahkan imigran Anda dimakzulkan dituntut
284,les migrants sont une richesse pour l’europe typhus abdominal…,0,Migran kekayaan tifus abdominal Eropa ...
285,flyblown retard in this corner,1,Flyblown Retard sudut
286, seriously kavvanaughs acc should be arrested and taken to mexico alongside all illegal aliens of mexi… ,1,Serius Kavvanaughs ACC ditangkap dibawa Meksiko alien ilegal Mexi…
287,not forgetting the tens of billions e immigrants have sent back to eastern rope who pay nothing,0,Tidak melupakan puluhan miliar imigran dikirim tali timur membayar
288,let native canadians and legal immigrants use their own resources first ,0,Biarkan penduduk asli Kanada imigran legal sumber daya
289, and did he conveniently forgetcountriesbad hombres and on and on this man is jekyl an ,1,mudah melupakan hombres pria jekyl an
290,pretty sure he called me a spic four times over already,0,memanggil spic kali lipat
291, come from shithole country brought up in slums no work no nothing those who are here have been deported ,1,berasal negara shithole dibesarkan daerah kumuh pekerjaan -apa dideportasi
292,and that quote it's okay to be white which i got mad about about be 1 this is cop,1,Dan kutipan -apa putih marah 1 polisi
293,tweet,0,menciak
294,don get me wrong he has some good music but give a retard some money and,1,salah paham memiliki musik bagus uang uang
295,charlie sloth is a money cunt,1,Charlie Sloth vagina uang
296,awe it retarded,1,kekaguman terbelakang
297,['if you donor either crazy or retarded and information technology a slight line that divide those so you could be both'],0,Jika Anda donor gila terbelakang teknologi informasi membagi Anda
298,jess was a ahead,1,Jess
299,you're derangedold and whitetoowhy do you hate yourselfit's okay to be white ,0,Anda gila tua whitetop Anda membenci -apa putih
300,cannot believe i'm doing this sluttyjock wrote after sharing his teamviewer password really faggot haha i pr ,1,percaya sluttyjock menulis berbagi sandi timviewer -benar fagot haha ​​i pr
301,   congress is representing illegal immigrantswho is fighting to stop the invasion for americans,1,Kongres mewakili imigran ilegal berjuang menghentikan invasi orang Amerika
302,ism 26 retard,0,ism 26 retard
303,ism rated r for retarded,1,ISM dinilai R terbelakang
304,is you due stupid or retarded mill vanilla mafias say hit big get me popping stop trona be me just stop,0,mafia vanilla mill bodoh terbelakang hit get me popping stop trona just me just stop
305,nope i didn't use any mongoloid there it's solitary to go i know that there are for,1,Tidak mongoloid soliter pergi
306,the faggot is still at it,1,homo melakukannya
307,"[""what i tooshie ' t figure out is when anyone always say information technology wasn ' t okay to be white ane intend it ' s always been""]",0,Apa temukan orang teknologi informasi orang kulit putih orang
308,most retardedurl,1,kebanyakan retardedurl
309,band go back to your country pakistan not is your country your country is afghanistan,1,Band Kembali Negara Anda Pakistan Bukan Negara Anda Negara Anda Afghanistan
310,oh no the mongoloid brigade have come out to troll epic,0,oh brigade mongoloid troll epik
311,it a sign to your true calling of you cutting grass spic lmaourl,1,tanda panggilan Anda Anda memotong lmaourl rumput
312,pollen negro,0,Pollen Negro
313,the trailer for the curse of la corona called me a wetback and a spic not watching that trash,1,Trailer Kutukan La Corona memanggil wetback spic menonton sampah
314,going full mongol,1,Pergi penuh Mongol
315, a non retarded club has puigbuehler iconic ws moments in easy winsnnoh well,0,Klub terbelakang memiliki momen ikonik Puigbuehler Winsnnoh mudah
316,a country that have 68 parties and 68 presidential candidates vying for one office is that not a shithole country ,0,Sebuah negara memiliki 68 partai 68 kandidat presiden bersaing kantor negara shithole
317,yo whats up you faggot redo fuck,1,yo whats up you fagot redo fuck
318, my mom wont say spic but will say nigga we love a problematic afrolatinx queen,1,Ibuku spic nigga suka ratu afrolatinx bermasalah
319,people go stop for illegal aliens votes,0,Orang -orang berhenti suara alien ilegal
320,['got an first step in my billfold for a new credit card who sate that slot which faggot thinks there worth that'],0,Mendapat langkah tagihan kartu kredit menyatukan slot dipikirkan Fagot sepadan
321,['i could sniffle astir the unfolding lower rank of the mentally slow up at all'],0,Saya mengendus -endus peringkat rendah mental melambat
322,['to save do migrants'],0,menyelamatkan migran
323,horse racing faggot,1,Balap kuda homo
324,['come close it you shameless twat'],0,datanglah tutupnya malu
325,no coats go back to where you come from,1,Tidak mantel Anda
326,     you're skipping over the shithole cities ndetro ,1,Anda melewatkan NDETRO KOTA SHITHOLE
327,the man arrested in connection with the suspiciouspackages is notnn immigrantn leftistn 1 ,1,Pria ditangkap sehubungan mencurigakan Notnn Immigrantn Leftistn 1
328,give her the old spic stick,1,Beri tongkat rempah -rempah
329,robots is a fucking retard rich hill was going good but instead of leaving him in there they take him out for not,0,Robot perbukitan Rich Hill bagus alih -alih meninggalkannya membawanya
330,hope this cunt hari kondabolu never works again and he calls himself a comedian lol but is offended by apu rip apu boycottt this cunt,0,Semoga vagina Hari Kondabolu menyebut komedian lol tersinggung apu rip apu boikottt vagina
331,this is so fucking bad cheeses what a self righteous cunt,1,buruk keju buruk
332,the issue of refugees must be resolved 7 years ago by way of wise policies in countries such as libya syria yemen,0,Masalah pengungsi diselesaikan 7 kebijakan bijak negara -negara Libya Suriah Yaman
333,in 2017 rightwing terrorist attacks outpaced leftist and islamic terrorist attacks there were over 2x as many ri ,1,Pada 2017 serangan teroris sayap kanan melampaui serangan teroris kiri teroris Islam 2x RI
334,it's true but there was a report today that said there are 22 million illegal aliens in the us and in,0,Memang laporan 22 juta alien ilegal AS
335,consider yourself lucky she's fucking retarded,0,menganggap Anda beruntung -benar terbelakang
336,['drug proscription induce make chicago into a shithole and has do the usa into a shithole country forcing the police force to'],0,Larangan narkoba menginduksi Chicago shithole Amerika Serikat negara shithole memaksa kepolisian
337,lot dreamers aren't just illegal aliens,0,pemimpi alien ilegal
338,drunk testers retarded lot,0,Penguji mabuk terbelakang
339,a cunt,1,A Vagina
340,"[""what the piece of tail information technology ' s okay to be white and proud""]",0,Teknologi informasi ekor -baik putih bangga
341,i feel edgy saying retard every 2 seconds but it's been integrated so deeply into my vocabulary i can't help it,0,Saya edgy retard 2 detik diintegrasikan kosakata menahannya
342,a sorts owned company used america tax dollars to build an ape to help illegal aliens evade authorities it's in to,1,Sebuah jenis perusahaan dimiliki dolar pajak Amerika membangun kera membantu alien ilegal menghindari otoritas dalamnya
343,['met earth peace'],0,Met Earth Peace
344,he threw that flag up like nigger fuck out my face,1,Dia melempar bendera negro bercinta wajahku
345,you can condemn saudi arabia all day long but as soon as you say something like ahead,0,Anda mengutuk Arab Saudi Anda
346,my friend's boyfriend just asked me if thing thong was a real word you mishit it's a stereotype to,0,Pacar teman Thong sungguhan Anda mishit stereotip
347,['dumb fucks leave behind out the fact that the mongoloid race came to north united states before them by thousands of age a b'],0,Dumb Fucks meninggalkan fakta ras mongoloid Amerika Serikat Utara ribuan usia B
348,trump is famous for his insults shithole countries failing fake news evil democrats criminal immigran ,0,Trump terkenal penghinaannya negara -negara shithole gagal berita palsu Demokrat Imigran Kriminal
349,zip it ahead,0,Zip
350,remember you can always go full retard but maybe you won't be back,1,Ingatlah Anda retard penuh Anda
351,this is the sort of thing that happens in a shithole country ,1,Ini negara shithole
352,what sort of mongy comes to a 2 and half hour train journey w no headphonescba,0,Jenis uang perjalanan kereta api 2 jam headphone CBA
353,so you mean to tell me being called a cracker carries the same weight as being called a nigger spick wetback chi,1,Jadi maksud Anda dipanggil cracker membawa bobot chi Wetback spick spick
354,the united states has become a shithole country and we can thank trump and all his deplorables,0,Amerika Serikat negara shithole berterima kasih Trump menyedihkannya
355,this cunt,1,vagina
356, barns heard them discussing the 'lecherous twat' and mistook it for 'leftist plot'nneasily done ,0,lumbung mendengar mendiskusikan twat lecherous plot kiri
357,is that a faggot fighting a female if so sh sad a man,0,homo melawan wanita sedih pria
358,with was retard asylum day with gods jet day it's a mix of hopefuls since long crossed the finish line their 20,0,suaka retard dewa jet day campuran calon melintasi garis finish 20
359,['mu general studies is the most retarded module to ever live like why constitute it yet compulsory'],0,MU Studi Umum modul terbelakang hidup wajib
360,everything about her is enraging smug little twat,0,Segala marah twat sombong
361,are people still using ching chong as an insult to asians lmfao y'all look stupid,1,Apakah orang ching chong penghinaan orang Asia lmfao bodoh
